Zone;Importations - Volailles;Production-Volailles;Disponibilité intérieure;Exportations - Volailles;PIB;Population;Sous-alimentation (%);Indice de stabilité;Disponibilités protéines moyennes d'origine animale
Afghanistan;29;28;57;;513.085978;36296.113;23;-2.8;10.7
Afrique du Sud;514;1667;2118;63;6121.876572;57009.756;5.5;-0.28;36
Albanie;38;13;47;0;4514.204908;2884.169;4.1;0.38;62.7
Algérie;2;275;277;0;4109.701336;41389.189;2.7;-0.92;25.6
Allemagne;842;1514;1739;646;44552.061;82658.409;0;0.59;63
Angola;277;42;319;0;4095.811686;29816.766;15.4;-0.33;15.7
Antigua-et-Barbuda;7;0;7;0;15383.415188;95.426;;0.75;50
Arabie saoudite;722;616;1435;10;20802.465306;33101.179;3.7;-0.58;34.6
Argentine;8;2161;1962;207;14627.615635;43937.14;3.1;0.17;67.3
Arménie;35;11;47;0;3914.525246;2944.791;3.1;-0.62;44.7
Australie;16;1269;1171;42;57628.863849;24584.62;0;0.89;71.6
Autriche;110;148;173;78;47306.411842;8819.901;0;1.05;64.7
Azerbaïdjan;27;104;129;0;4150.868844;9845.32;0;-0.75;31.7
Bahamas;24;6;26;;32719.152336;381.755;;0.99;52.3
Bangladesh;0;249;250;;1538.233627;159685.424;12.5;-1.26;11.7
Barbade;2;15;17;0;17392.010677;286.232;4.3;0.97;49.3
Bélarus;21;463;265;152;5790.908054;9450.231;0;-0.05;51
Belgique;338;463;152;656;44020.066762;11419.748;0;0.43;58.3
Belize;0;20;19;0;4887.55982;375.769;6.7;0.04;27
Bénin;123;18;161;0;1136.59336;11175.198;7.2;0.03;13.3
Bolivie (État plurinational de);1;533;429;1;3351.127399;11192.855;12.5;-0.28;34.7
Bosnie-Herzégovine;10;61;55;8;5394.741461;3351.525;0;-0.35;36.3
Botswana;3;5;7;0;7893.388428;2205.08;28.9;1.02;27.7
Brésil;3;14201;9982;4223;9925.419442;207833.823;0;-0.42;52.7
Bulgarie;108;107;157;45;8300.173316;7102.444;3.1;0.33;40.7
Burkina Faso;0;46;46;;734.996282;19193.234;12.4;-0.93;11
Cabo Verde;12;1;10;;3292.638357;537.498;16.7;0.77;26
Cambodge;10;28;38;;1385.260419;16009.409;7.7;0.09;18.7
Cameroun;0;81;82;0;1425.106072;24566.073;5.6;-1.1;11.3
Canada;182;1417;1433;163;44906.74892;36732.095;0;1.1;55
Chili;155;712;672;115;14999.370089;18470.439;3;0.42;47.7
Chine - RAS de Hong-Kong;907;24;280;663;46705.027813;7306.322;0;0.83;95.7
Chine - RAS de Macao;23;3;19;0;81516.664768;622.585;4.8;1.43;68
Chypre;14;25;38;1;26483.877988;1179.678;0;0.54;46
Colombie;78;1564;1643;2;6376.707362;48909.839;7.1;-0.77;36.7
Congo;104;7;110;0;2154.629048;5110.695;36;-0.53;26
Costa Rica;17;133;134;3;11814.626771;4949.954;3.1;0.61;44.7
Côte d'Ivoire;7;58;65;0;2111.026809;24437.47;15;-1.09;13.7
Croatie;24;61;45;17;13225.258588;4182.857;0;0.69;53
Cuba;312;29;342;;8541.21444;11339.254;0;0.65;33
Danemark;133;173;167;139;57938.797728;5732.274;0;0.87;76.7
Djibouti;3;;3;;2930.696963;944.099;16.4;-0.74;14
Dominique;4;0;4;0;7274.669503;71.458;5.3;1.2;46.3
Égypte;110;1118;1250;1;2023.331158;96442.591;4.9;-1.42;24.7
El Salvador;16;136;131;2;3910.253179;6388.126;9.1;-0.26;26.3
Émirats arabes unis;433;48;412;94;40644.804043;9487.203;3.2;0.62;50.7
Équateur;0;340;341;0;6213.501276;16785.361;10.7;-0.07;30.3
Espagne;205;1515;1497;212;28137.441564;46647.428;0;0.28;66
Lettonie;43;33;41;20;15611.095187;1319.39;0;0.46;61
Eswatini;2;6;7;0;3952.911658;1124.805;12.4;-0.27;16.7
États-Unis d'Amérique;123;21914;18266;3692;60116.568493;325084.756;0;0.34;72.7
Éthiopie;1;14;14;;721.753494;106399.924;14;-1.68;6
Fédération de Russie;226;4444;4556;115;10840.230674;145530.082;0;-0.64;54
Fidji;3;23;26;0;6101.130428;877.459;6.3;0.64;28
Islande;2;10;10;0;73231.725965;5511.371;0;1.35;103
France;506;1750;1573;501;38720.645922;64842.509;0;0.28;63.7
Gabon;76;4;78;0;7230.389368;2064.823;16;-0.1;38.3
Namibie;29;11;28;12;5300.095958;2213.889;20;0.63;22.7
Géorgie;51;22;61;5;4051.839171;4008.716;8.3;-0.37;29.3
Guyana;0;31;32;0;6124.922066;29121.465;6;-0.04;35.3
Grèce;79;246;178;29;18934.301204;10569.45;0;-0.07;58
Grenade;7;1;8;;10152.836673;110.874;;1.01;39.7
Guatemala;129;235;357;7;4233.644814;16914.97;16.3;-0.65;21.7
Guinée;37;13;50;;855.575057;12067.519;;-0.7;11
Guinée-Bissau;4;3;4;;738.550286;1828.145;;-0.5;9
Guyana;0;31;32;0;6124.922066;775.222;6;-0.04;35.3
Haïti;89;9;98;;775.892196;10982.366;48;-0.67;9.7
Honduras;12;193;205;1;2453.729573;9429.013;13.2;-0.56;20.7
Hongrie;58;493;266;210;14693.135295;9729.823;0;0.81;49.7
Îles Salomon;6;0;3;0;1911.431453;636.039;17.6;0.2;15.3
Inde;0;3545;3661;4;1961.338029;1338676.785;13.8;-0.76;14
Indonésie;1;2301;2323;0;3837.578117;264650.963;6.4;-0.5;20.7
Iran (République islamique d');6;2174;2220;45;5714.068676;80673.883;5.2;-0.93;24.3
Iraq;470;96;566;0;5076.691876;37552.781;37.9;-2.31;14.7
Islande;2;10;10;0;73231.725965;4753.279;0;1.35;103
Islande;2;10;10;0;73231.725965;334.393;0;1.35;103
Israël;0;629;636;3;42850.548478;8243.848;0;-0.89;73.3
Italie;97;1315;1173;183;32333.550863;60673.701;0;0.31;54.3
Jamaïque;31;128;152;1;5070.097753;2920.848;8.8;0.31;35.7
Japon;1069;2215;2415;10;38170.669761;127502.725;0;1.11;47.7
Jordanie;64;210;275;10;4231.464852;9785.843;7.7;-0.5;23.3
